TDMRoute,UTARoute,GTFSRoute,Label,Notes
D460,,460,D460,
D461,,461,D461,
D462,,462,D462,
FD605,F605,F605,FD605,
M805_Santaquin,805,805,M805_Santaquin,
M806_EglMtn,806,806,M806_EglMtn,
M807_NoCnty,807,807,M807_NoCnty,
M809_AM-PG,809,809,M809_AM-PG,
M821_Psn,821,821,M821_Psn,
M822_Psn,822,822,M822_Psn,
M831_WPr,831,831,M831_WPr,
M833_CntPr,833,833,M833_CntPr,
M834_EstPr,834,834,M834_EstPr,
M841_UVU,841,841,M841_UVU,
M850_StateStreet,850,850,M850_StateStreet,
M862_Orem,862,862,M862_Orem,
M864_ThanksgivingPnt,864,864,M864_ThanksgivingPnt,
M871_SLtoUtahCnty,871,871,M871_SLtoUtahCnty,
O601,601,601,O601,
O603,603,603,O603,
O604,604,604,O604,
O606,606,606,O606,
O608,608,608,O608,
O612,612,612,O612,
O613,613,613,O613,
O616,616,616,O616,
O625,625,625,O625,
O626,626,626,O626,
O627,627,627,O627,
O628,628,628,O628,
O630,630,630,O630,
O640,640,640,O640,
O645,645,645,O645,
O650,650,650,O650,
O667,667,667,O667,
OF618,F618,F618,OF618,
OF620,F620,F620,OF620,
OF638,F638,F638,OF638,
S2,2,2,S002,
S2X,2X,2X,S002X,
S3,3,3,S003,
S4,4,4,S004,
S6,6,6,S006,
S9,9,9,S009,
S11,11,11,S011,
S17,17,17,S017,
S21,21,21,S021,
S33,33,33,S033,
S35,35,35,S035,
S39,39,39,S039,
S41,41,41,S041,
S45,45,45,S045,
S47,47,47,S047,
S54,54,54,S054,
S62,62,62,S062,
S72,72,72,S072,
S200,200,200,S200,
S201,201,201,S201,
S205,205,205,S205,
S209,209,209,S209,
S213,213,213,S213,
S217,217,217,S217,
S218,218,218,S218,
S220,220,220,S220,
S223,223,223,S223,
S227,227,227,S227,
S232,232,232,S232,
S240,240,240,S240,
S248,248,248,S248,
S307X,,307,S307X,
S313X,,313,S313X,
S320X,,320,S320X,
S354X,,354,S354X,
S454,,454,S454,
S455,,455,S455,
S463,,463,S463,
S470,,470,S470,
S471,,471,S471,
S509,,509,S509,
S513,,513,S513,
S519/520,,519,S519/520,*Also 520 for GTFSRoute
S525,,525,S525,
S526,,526,S526,
S551,,551,S551,
S902,902,902,S902,
SF94,F94,F94,SF094,
SF453,F453,F453,SF453,
SF504,F504,F504,SF504,
SF514,F514,F514,SF514,
SF518,F518,F518,SF518,
SF522,,F522,SF522,
SF534,F534,F534,SF534,
SF546,F546,F546,SF546,
SF547,F547,F547,SF547,
SF556,F556,F556,SF556,
SF570,F570,F570,SF570,
SF578,F578,F578,SF578,
SF590,F590,F590,SF590,
BRT3500S,35M,35M,BRT3500S,
S451X,,451,S451X,
S456,,456,S456,
S472X,,472,S472X,
S473X,,473,S473X,
,F400,F400,F400,
,F402,F402,F402,
,919,919,919,
,920,920,920,
,953,953,953,
BRT_ProOrm,830,830X,UVX,
